,time£¨s£©,temperature£¨K£©
,3.18,295.66217
,3.19,295.66247
,3.2,295.66277
,3.21,295.66306
,3.22,295.66335
,3.23,295.66363
,3.24,295.66391
,3.25,295.66418
,3.26,295.66445
,3.27,295.66472
,3.28,295.66498
,3.29,295.66524
,3.3,295.66549
,3.31,295.66574
,3.32,295.66599
,3.33,295.66623
,3.34,295.66647
,3.35,295.6667
,3.36,295.66694
,3.37,295.66716
,3.38,295.66739
,3.39,295.66761
,3.4,295.66783
,3.41,295.66804
,3.42,295.66825
,3.43,295.66846
,3.44,295.66867
,3.45,295.66887
,3.46,295.66907
,3.47,295.66926
,3.48,295.66946
,3.49,295.66965
,3.5,295.66983
,3.51,295.67002
,3.52,295.6702
,3.53,295.67038
,3.54,295.67055
,3.55,295.67073
,3.56,295.6709
,3.57,295.67106
,3.58,295.67123
,3.59,295.67139
,3.6,295.67155
,3.61,295.67171
,3.62,295.67187
,3.63,295.67202
,3.64,295.67217
,3.65,295.67232
,3.66,295.67247
,3.67,295.67261
,3.68,295.67275
,3.69,295.67289
,3.7,295.67303
,3.71,295.67317
,3.72,295.6733
,3.73,295.67343
,3.74,295.67356
,3.75,295.67369
,3.76,295.67381
,3.77,295.67394
,3.78,295.67406
,3.79,295.67418
,3.8,295.6743
,3.81,295.67441
,3.82,295.67453
,3.83,295.67464
,3.84,295.67475
,3.85,295.67486
,3.86,295.67497
,3.87,295.67508
,3.88,295.67518
,3.89,295.67528
,3.9,295.67539
,3.91,295.67549
,3.92,295.67558
,3.93,295.67568
,3.94,295.67578
,3.95,295.67587
,3.96,295.67596
,3.97,295.67605
,3.98,295.67614
,3.99,295.67623
,4,295.67632
,4.01,295.6764
,4.02,295.67649
,4.03,295.67657
,4.04,295.67665
,4.05,295.67673
,4.06,295.67681
,4.07,295.67689
,4.08,295.67697
,4.09,295.67704
,4.1,295.67712
,4.11,295.67719
,4.12,295.67727
,4.13,295.67734
,4.14,295.67741
,4.15,295.67748
,4.16,295.67754
,4.17,295.67761
,4.18,295.67768
,4.19,295.67774
,4.2,295.67781
,4.21,295.67787
,4.22,295.67793
,4.23,295.67799
,4.24,295.67805
,4.25,295.67811
,4.26,295.67817
,4.27,295.67823
,4.28,295.67829
,4.29,295.67834
,4.3,295.6784
,4.31,295.67845
,4.32,295.6785
,4.33,295.67856
,4.34,295.67861
,4.35,295.67866
,4.36,295.67871
,4.37,295.67876
,4.38,295.67881
,4.39,295.67886
,4.4,295.6789
,4.41,295.67895
,4.42,295.67899
,4.43,295.67904
,4.44,295.67908
,4.45,295.67913
,4.46,295.67917
,4.47,295.67921
,4.48,295.67926
,4.49,295.6793
,4.5,295.67934
,4.51,295.67938
,4.52,295.67942
,4.53,295.67945
,4.54,295.67949
,4.55,295.67953
,4.56,295.67957
,4.57,295.6796
,4.58,295.67964
,4.59,295.67967
,4.6,295.67971
,4.61,295.67974
,4.62,295.67978
,4.63,295.67981
,4.64,295.67984
,4.65,295.67988
,4.66,295.67991
,4.67,295.67994
,4.68,295.67997
,4.69,295.68
,4.7,295.68003
,4.71,295.68006
,4.72,295.68009
,4.73,295.68012
,4.74,295.68014
,4.75,295.68017
