,wavelength(um),voltage response ,,wavelength£¨um£©,IR absorption spectrum
,,,,3.4091,0.11321
,,,,3.4113,0.11381
,,,,3.4136,0.11407
,,,,3.4158,0.11446
,,,,3.4181,0.11517
,,,,3.4203,0.11587
,,,,3.4226,0.11662
,,,,3.4248,0.11749
,,,,3.4271,0.11837
,,,,3.4294,0.1192
,,,,3.4316,0.12004
,,,,3.4339,0.12085
,,,,3.4362,0.12141
,,,,3.4385,0.12181
,,,,3.4407,0.12243
,,,,3.443,0.12319
,,,,3.4453,0.12383
,,,,3.4476,0.12443
,,,,3.4499,0.12526
,,,,3.4522,0.12622
,,,,3.4545,0.12693
,,,,3.4568,0.12728
,,,,3.4591,0.12768
,,,,3.4614,0.12838
,,,,3.4637,0.12905
,,,,3.466,0.12942
,,,,3.4684,0.12972
,,,,3.4707,0.13018
,,,,3.473,0.13075
,,,,3.4753,0.13135
,,,,3.4777,0.13186
,,,,3.48,0.13232
,,,,3.4823,0.13274
,,,,3.4847,0.13293
,,,,3.487,0.13306
,,,,3.4894,0.13332
,,,,3.4917,0.13351
,,,,3.4941,0.13356
,,,,3.4964,0.13358
,,,,3.4988,0.13353
,,,,3.5012,0.13333
,,,,3.5035,0.13312
,,,,3.5059,0.13316
,,,,3.5083,0.13342
,,,,3.5106,0.13372
,,,,3.513,0.13393
,,,,3.5154,0.13403
,,,,3.5178,0.1341
,,,,3.5202,0.13426
,,,,3.5226,0.13454
,,,,3.525,0.13476
,,,,3.5273,0.13478
,,,,3.5298,0.13467
,,,,3.5322,0.13459
,,,,3.5346,0.13454
,,,,3.537,0.13444
,,,,3.5394,0.13431
,,,,3.5418,0.13413
,,,,3.5442,0.13388
,,,,3.5467,0.13362
,,,,3.5491,0.13353
,,,,3.5515,0.13375
,,,,3.5539,0.13405
,,,,3.5564,0.1341
,,,,3.5588,0.13387
,,,,3.5613,0.13353
,,,,3.5637,0.13324
,,,,3.5662,0.13304
,,,,3.5686,0.13289
,,,,3.5711,0.13277
,,,,3.5735,0.13267
,,,,3.576,0.13246
,,,,3.5785,0.13215
,,,,3.5809,0.13196
,,,,3.5834,0.13182
,,,,3.5859,0.13154
,,,,3.5884,0.13126
,,,,3.5909,0.1311
,,,,3.5933,0.13099
,,,,3.5958,0.13089
,,,,3.5983,0.13081
,,,,3.6008,0.13067
,,,,3.6033,0.13033
,,,,3.6058,0.12988
,,,,3.6084,0.12947
,,,,3.6109,0.12902
,,,,3.6134,0.12856
,,,,3.6159,0.12826
,,,,3.6184,0.12793
,,,,3.621,0.12748
,,,,3.6235,0.12708
,,,,3.626,0.12671
,,,,3.6286,0.12628
,,,,3.6311,0.12593
,,,,3.6336,0.12567
,,,,3.6362,0.12536
,,,,3.6387,0.12492
,,,,3.6413,0.1243
,,,,3.6439,0.1236
,,,,3.6464,0.12296
,,,,3.649,0.12244
,,,,3.6516,0.12201
,,,,3.6541,0.12162
,,,,3.6567,0.12126
,,,,3.6593,0.12078
,,,,3.6619,0.12012
,,,,3.6645,0.11958
,,,,3.667,0.11929
,,,,3.6696,0.1189
,,,,3.6722,0.11827
,,,,3.6748,0.11757
,,,,3.6774,0.11697
,,,,3.6801,0.11648
,,,,3.6827,0.11597
,,,,3.6853,0.11542
,,,,3.6879,0.11492
,,,,3.6905,0.11439
,,,,3.6932,0.1138
,,,,3.6958,0.11322
,,,,3.6984,0.11271
,,,,3.7011,0.11227
,,,,3.7037,0.11177
,,,,3.7064,0.11109
,,,,3.709,0.11043
,,,,3.7117,0.10988
,,,,3.7143,0.10933
,,,,3.717,0.10877
,,,,3.7197,0.10833
,,,,3.7223,0.10789
,,,,3.725,0.10735
