,wavelength(um),voltage response ,,wavelength£¨um£©,IR absorption spectrum
,,,,6.8952,0.06748
,,,,6.9044,0.06606
,,,,6.9136,0.06532
,,,,6.9228,0.06529
,,,,6.9321,0.06505
,,,,6.9414,0.06407
,,,,6.9507,0.0626
,,,,6.96,0.06143
,,,,6.9694,0.06099
,,,,6.9787,0.06052
,,,,6.9881,0.05954
,,,,6.9976,0.05867
,,,,7.007,0.05813
,,,,7.0165,0.05725
,,,,7.026,0.05613
,,,,7.0356,0.05514
,,,,7.0451,0.05429
,,,,7.0547,0.05389
,,,,7.0643,0.05394
,,,,7.0739,0.05378
,,,,7.0836,0.0533
,,,,7.0933,0.05281
,,,,7.103,0.05218
,,,,7.1128,0.05146
,,,,7.1225,0.0511
,,,,7.1323,0.05087
,,,,7.1422,0.05025
,,,,7.152,0.0494
,,,,7.1619,0.04869
,,,,7.1718,0.04865
,,,,7.1817,0.04928
,,,,7.1917,0.04943
,,,,7.2017,0.04871
,,,,7.2117,0.04801
,,,,7.2217,0.04803
,,,,7.2318,0.04832
,,,,7.2419,0.04839
,,,,7.252,0.04807
,,,,7.2622,0.04711
,,,,7.2724,0.04609
,,,,7.2826,0.0461
,,,,7.2928,0.04672
,,,,7.3031,0.04696
,,,,7.3134,0.04685
,,,,7.3237,0.04645
,,,,7.3341,0.04587
,,,,7.3445,0.0458
,,,,7.3549,0.04624
,,,,7.3653,0.04646
,,,,7.3758,0.04622
,,,,7.3863,0.04597
,,,,7.3969,0.04581
,,,,7.4074,0.04565
,,,,7.418,0.04561
,,,,7.4287,0.04569
,,,,7.4393,0.04555
,,,,7.45,0.04496
,,,,7.4607,0.04431
,,,,7.4715,0.04423
,,,,7.4823,0.04464
,,,,7.4931,0.04485
,,,,7.5039,0.04477
,,,,7.5148,0.04461
,,,,7.5257,0.04441
,,,,7.5366,0.0442
,,,,7.5476,0.04401
,,,,7.5586,0.04366
,,,,7.5696,0.04305
,,,,7.5807,0.04254
,,,,7.5918,0.04248
,,,,7.6029,0.04255
,,,,7.6141,0.0424
,,,,7.6253,0.04224
,,,,7.6365,0.04212
,,,,7.6478,0.04193
,,,,7.6591,0.04175
,,,,7.6704,0.04158
,,,,7.6818,0.04142
,,,,7.6932,0.04136
,,,,7.7046,0.04137
,,,,7.7161,0.04127
,,,,7.7276,0.04104
,,,,7.7391,0.04087
,,,,7.7507,0.04074
,,,,7.7623,0.04053
,,,,7.7739,0.04031
,,,,7.7856,0.04013
,,,,7.7973,0.03997
,,,,7.809,0.03988
,,,,7.8208,0.03979
,,,,7.8326,0.03968
,,,,7.8445,0.03955
,,,,7.8564,0.03934
,,,,7.8683,0.03906
,,,,7.8802,0.03879
,,,,7.8922,0.03846
,,,,7.9043,0.03802
,,,,7.9163,0.0375
,,,,7.9284,0.03699
,,,,7.9406,0.03664
,,,,7.9528,0.03633
,,,,7.965,0.03572
,,,,7.9772,0.03469
,,,,7.9895,0.03331
,,,,8.0019,0.03175
