,x(mm),temperature£¨K£©,Area integral temperature(K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.04925,297.30022,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.05142,297.29841,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.06363,297.28691,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0658,297.2846,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.07801,297.27034,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.08018,297.26758,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.09239,297.25083,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.09457,297.24762,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.10677,297.22837,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.10895,297.2247,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.12115,297.20303,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.12333,297.19898,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.13553,297.17522,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.13771,297.1708,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.14991,297.14495,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.15209,297.14014,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.16429,297.11239,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.16647,297.10731,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.17868,297.07796,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.18085,297.07259,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.19306,297.04165,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.19523,297.03598,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.20744,297.0037,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.20961,296.99785,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.22182,296.96449,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.224,296.95844,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2362,296.924,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.23838,296.91777,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25058,296.88244,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25276,296.87608,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.26496,296.84014,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.26714,296.83368,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.27934,296.79713,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.28152,296.79055,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.29372,296.75364,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2959,296.74704,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.30811,296.7099,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.31028,296.70326,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.32249,296.66589,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.32468,296.65915,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.33686,296.62187,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.33906,296.61514,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.35124,296.57794,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
