,chopper frequency£¨HZ£©,Vout(V),,inset,time£¨s£©,Vout(V)
,,,,,0.01663,0.3424
,,,,,0.01671,0.3424
,,,,,0.01679,0.3424
,,,,,0.01687,0.3424
,,,,,0.01695,0.3424
,,,,,0.01703,0.3456
,,,,,0.01711,0.3456
,,,,,0.01719,0.3456
,,,,,0.01727,0.3456
,,,,,0.01735,0.3456
,,,,,0.01743,0.3456
,,,,,0.01751,0.3456
,,,,,0.01759,0.3456
,,,,,0.01767,0.3456
,,,,,0.01775,0.3456
,,,,,0.01783,0.3456
,,,,,0.01791,0.3456
,,,,,0.01799,0.3456
,,,,,0.01807,0.3456
,,,,,0.01815,0.3456
,,,,,0.01823,0.3488
,,,,,0.01831,0.3488
,,,,,0.01839,0.3488
,,,,,0.01847,0.3488
,,,,,0.01855,0.3488
,,,,,0.01863,0.3488
,,,,,0.01871,0.3488
,,,,,0.01879,0.3488
,,,,,0.01887,0.3488
,,,,,0.01895,0.3488
,,,,,0.01903,0.3488
,,,,,0.01911,0.3488
,,,,,0.01919,0.3488
,,,,,0.01927,0.3488
,,,,,0.01935,0.3488
,,,,,0.01943,0.352
,,,,,0.01951,0.352
,,,,,0.01959,0.352
,,,,,0.01967,0.352
,,,,,0.01975,0.352
,,,,,0.01983,0.352
,,,,,0.01991,0.352
,,,,,0.01999,0.352
,,,,,0.02007,0.352
,,,,,0.02015,0.352
,,,,,0.02023,0.352
,,,,,0.02031,0.352
,,,,,0.02039,0.352
,,,,,0.02047,0.352
,,,,,0.02055,0.352
,,,,,0.02063,0.3552
,,,,,0.02071,0.3552
,,,,,0.02079,0.3552
,,,,,0.02087,0.3552
,,,,,0.02095,0.3552
,,,,,0.02103,0.3552
,,,,,0.02111,0.3552
,,,,,0.02119,0.3552
,,,,,0.02127,0.3552
,,,,,0.02135,0.3552
,,,,,0.02143,0.3552
,,,,,0.02151,0.3552
,,,,,0.02159,0.3552
,,,,,0.02167,0.3552
,,,,,0.02175,0.3552
,,,,,0.02183,0.3552
,,,,,0.02191,0.3552
,,,,,0.02199,0.3552
,,,,,0.02207,0.3552
,,,,,0.02215,0.3552
,,,,,0.02223,0.3584
,,,,,0.02231,0.3584
,,,,,0.02239,0.3584
,,,,,0.02247,0.3584
,,,,,0.02255,0.3584
,,,,,0.02263,0.3584
,,,,,0.02271,0.3584
,,,,,0.02279,0.3584
,,,,,0.02287,0.3584
,,,,,0.02295,0.3584
,,,,,0.02303,0.3584
,,,,,0.02311,0.3584
,,,,,0.02319,0.3584
,,,,,0.02327,0.3584
,,,,,0.02335,0.3584
,,,,,0.02343,0.3584
,,,,,0.02351,0.3584
,,,,,0.02359,0.3584
,,,,,0.02367,0.3584
,,,,,0.02375,0.3584
,,,,,0.02383,0.3584
,,,,,0.02391,0.3584
,,,,,0.02399,0.3584
,,,,,0.02407,0.3584
,,,,,0.02415,0.3584
,,,,,0.02423,0.3584
,,,,,0.02431,0.3584
,,,,,0.02439,0.3584
,,,,,0.02447,0.3584
,,,,,0.02455,0.3616
,,,,,0.02463,0.3616
,,,,,0.02471,0.3616
,,,,,0.02479,0.3616
,,,,,0.02487,0.3616
,,,,,0.02495,0.3616
,,,,,0.02503,0.3616
,,,,,0.02511,0.3616
,,,,,0.02519,0.3616
,,,,,0.02527,0.3616
,,,,,0.02535,0.3616
,,,,,0.02543,0.3616
,,,,,0.02551,0.3616
,,,,,0.02559,0.3616
