eight gas infrared absorption band,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2,measured FTIR,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2
Figure 2c-up,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption
,8.94392,0,8.94392,0,8.94392,0,8.94392,0,8.94392,0,8.94277,0,8.94392,0,8.94392,0,,2.11814,0.13813,2.5269,0.10987,3.03761,0.07125,3.55151,0.11412,4.0668,0.08715,4.06683,0.01037,4.0668,0.17489,4.0668,0.00195
,8.94139,0,8.94139,0,8.94139,0,8.94139,0,8.94139,0,8.9401,0,8.94139,0,8.94139,0,,2.119,0.1384,2.52813,0.10975,3.03939,0.07143,3.55394,0.11427,4.07,0.08747,4.07002,0.01063,4.07,0.17481,4.07,0.00189
,8.93886,0,8.93886,0,8.93886,0,8.93886,0,8.93886,0,8.93744,0,8.93886,0,8.93886,0,,2.11987,0.13839,2.52937,0.10966,3.04118,0.07026,3.55638,0.11437,4.0732,0.08781,4.07322,0.01091,4.0732,0.17471,4.0732,0.00184
,8.93633,0,8.93633,0,8.93633,0,8.93633,0,8.93633,0,8.93478,0,8.93633,0,8.93633,0,,2.12074,0.13819,2.5306,0.10962,3.04296,0.06952,3.55882,0.11449,4.0764,0.08816,4.07642,0.01122,4.0764,0.17458,4.0764,0.0018
,8.9338,0,8.9338,0,8.9338,0,8.9338,0,8.9338,0,8.93212,0,8.9338,0,8.9338,0,,2.12161,0.13796,2.53184,0.10961,3.04475,0.07025,3.56127,0.11468,4.0796,0.08853,4.07963,0.01152,4.0796,0.17443,4.0796,0.00178
,8.93127,0,8.93127,0,8.93127,0,8.93127,0,8.93127,0,8.92946,0,8.93127,0,8.93127,0,,2.12247,0.13783,2.53307,0.10956,3.04654,0.07138,3.56371,0.11491,4.0828,0.08893,4.08284,0.01173,4.0828,0.17425,4.0828,0.00175
,8.92875,0,8.92875,0,8.92875,0,8.92875,0,8.92875,0,8.9268,0,8.92875,0,8.92875,0,,2.12334,0.13784,2.53431,0.10939,3.04833,0.07182,3.56617,0.11516,4.0861,0.08933,4.08606,0.01187,4.0861,0.17401,4.0861,0.00172
,8.92622,0,8.92622,0,8.92622,0,8.92622,0,8.92622,0,8.92415,0,8.92622,0,8.92622,0,,2.12421,0.13801,2.53555,0.10911,3.05012,0.0727,3.56862,0.11539,4.0893,0.08975,4.08928,0.01199,4.0893,0.17371,4.0893,0.00166
,8.9237,0,8.9237,0,8.9237,0,8.9237,0,8.9237,0,8.92149,0,8.9237,0,8.9237,0,,2.12508,0.1383,2.53679,0.10876,3.05192,0.07503,3.57108,0.11554,4.0925,0.09017,4.09251,0.01217,4.0925,0.17334,4.0925,0.00159
,8.92118,0,8.92118,0,8.92118,0,8.92118,0,8.92118,0,8.91884,0,8.92118,0,8.92118,0,,2.12595,0.13865,2.53803,0.10836,3.05371,0.07692,3.57354,0.11559,4.0957,0.09057,4.09574,0.01246,4.0957,0.17288,4.0957,0.00149
,8.91866,0,8.91866,0,8.91866,0,8.91866,0,8.91866,0,8.91619,0,8.91866,0,8.91866,0,,2.12683,0.13905,2.53928,0.10795,3.05551,0.07636,3.576,0.11561,4.099,0.09096,4.09898,0.0128,4.099,0.17236,4.099,0.00139
,8.91614,0,8.91614,0,8.91614,0,8.91614,0,8.91614,0,8.91354,0,8.91614,0,8.91614,0,,2.1277,0.13946,2.54052,0.10756,3.05731,0.07451,3.57847,0.11568,4.1022,0.09133,4.10222,0.01316,4.1022,0.17177,4.1022,0.00128
,8.91363,0,8.91363,0,8.91363,0,8.91363,0,8.91363,0,8.91089,0,8.91363,0,8.91363,0,,2.12857,0.1398,2.54177,0.10723,3.05912,0.07349,3.58094,0.11581,4.1055,0.0917,4.10547,0.0135,4.1055,0.17114,4.1055,0.00119
,8.91111,0,8.91111,0,8.91111,0,8.91111,0,8.91111,0,8.90825,0,8.91111,0,8.91111,0,,2.12945,0.14001,2.54301,0.10701,3.06092,0.0739,3.58342,0.11601,4.1087,0.09208,4.10872,0.01379,4.1087,0.17048,4.1087,0.00109
,8.9086,0,8.9086,0,8.9086,0,8.9086,0,8.9086,0,8.9056,0,8.9086,0,8.9086,0,,2.13032,0.14001,2.54426,0.10692,3.06273,0.07467,3.58589,0.11627,4.112,0.09247,4.11198,0.01402,4.112,0.16979,4.112,0.001
,8.90608,0,8.90608,0,8.90608,0,8.90608,0,8.90608,0,8.90296,0,8.90608,0,8.90608,0,,2.1312,0.13982,2.54551,0.107,3.06454,0.0749,3.58838,0.11655,4.1152,0.09288,4.11524,0.0142,4.1152,0.16907,4.1152,8.90E-04
,8.90357,0,8.90357,0,8.90357,0,8.90357,0,8.90357,0,8.90032,0,8.90357,0,8.90357,0,,2.13207,0.13953,2.54676,0.10723,3.06635,0.07513,3.59086,0.11679,4.1185,0.09331,4.11851,0.0144,4.1185,0.16833,4.1185,7.80E-04
,8.90106,0,8.90106,0,8.90106,0,8.90106,0,8.90106,0,8.89768,0,8.90106,0,8.90106,0,,2.13295,0.13929,2.54801,0.10752,3.06817,0.07568,3.59335,0.11701,4.1218,0.09375,4.12178,0.01463,4.1218,0.16756,4.1218,6.50E-04
,8.89856,0,8.89856,0,8.89856,0,8.89856,0,8.89856,0,8.89504,0,8.89856,0,8.89856,0,,2.13383,0.13914,2.54926,0.10778,3.06998,0.07654,3.59584,0.11725,4.1251,0.09419,4.12506,0.01487,4.1251,0.16676,4.1251,5.30E-04
,8.89605,0,8.89605,0,8.89605,0,8.89605,0,8.89605,0,8.8924,0,8.89605,0,8.89605,0,,2.13471,0.13909,2.55052,0.10799,3.0718,0.07778,3.59834,0.11752,4.1283,0.09462,4.12835,0.01513,4.1283,0.16594,4.1283,4.10E-04
,8.89354,0,8.89354,0,8.89354,0,8.89354,0,8.89354,0,8.88977,0,8.89354,0,8.89354,0,,2.13559,0.13914,2.55177,0.10813,3.07362,0.07801,3.60084,0.11776,4.1316,0.09503,4.13164,0.01545,4.1316,0.16509,4.1316,3.00E-04
,8.89104,0,8.89104,0,8.89104,0,8.89104,0,8.89104,0,8.88713,0,8.89104,0,8.89104,0,,2.13647,0.1393,2.55303,0.10823,3.07545,0.07682,3.60334,0.11793,4.1349,0.09543,4.13493,0.01578,4.1349,0.16419,4.1349,1.90E-04
,8.88854,0,8.88854,0,8.88854,0,8.88854,0,8.88854,0,8.8845,0,8.88854,0,8.88854,0,,2.13735,0.13961,2.55429,0.10833,3.07727,0.07632,3.60584,0.11809,4.1382,0.09583,4.13823,0.01613,4.1382,0.16326,4.1382,9.00E-05
,8.88604,0,8.88604,0,8.88604,0,8.88604,0,8.88604,0,8.88187,0,8.88604,0,8.88604,0,,2.13823,0.13997,2.55555,0.10855,3.0791,0.07781,3.60835,0.11826,4.1415,0.09624,4.14154,0.01651,4.1415,0.16227,4.1415,1.00E-05
,8.88354,0,8.88354,0,8.88354,0,8.88354,0,8.88354,0,8.87924,0,8.88354,0,8.88354,0,,2.13911,0.14028,2.55681,0.10894,3.08093,0.07984,3.61087,0.1184,4.1448,0.09668,4.14485,0.01693,4.1448,0.16124,4.1448,-1.00E-04
