eight gas infrared absorption band,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2,measured FTIR,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2
Figure 2c-up,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption
,4.717228366,0,4.717228366,0,4.717228366,0,4.717228366,0.03734,4.750844594,0,4.615861583,0,4.717228366,0,4.717228366,0,,,,,,,,,,,,,,,,,
,4.716486742,0,4.716486742,0,4.716486742,0,4.716486742,0.00719,4.750092363,0,4.615151493,0,4.716486742,0,4.716486742,0,,,,,,,,,,,,,,,,,
,4.715745351,0,4.715745351,0,4.715745351,0,4.715745351,0.00274,4.749340371,0,4.614441622,0,4.715745351,0,4.715745351,0,,,,,,,,,,,,,,,,,
,4.715004191,0,4.715004191,0,4.715004191,0,4.715004191,0.0071,4.748588614,0,4.613731969,0,4.715004191,0,4.715004191,0,,,,,,,,,,,,,,,,,
,4.714263266,0,4.714263266,0,4.714263266,0,4.714263266,0.00121,4.747837097,0,4.613022535,0,4.714263266,0,4.714263266,0,,,,,,,,,,,,,,,,,
,4.713522574,0,4.713522574,0,4.713522574,0,4.713522574,0.000933358,4.747085818,0,4.612313319,0,4.713522574,0,4.713522574,0,,,,,,,,,,,,,,,,,
,4.712782112,0,4.712782112,0,4.712782112,0,4.712782112,0.000917676,4.746334775,0,4.61160432,0,4.712782112,0,4.712782112,0,,,,,,,,,,,,,,,,,
,4.712041885,0,4.712041885,0,4.712041885,0,4.712041885,0.00108,4.745583971,0,4.61089554,0,4.712041885,0,4.712041885,0,,,,,,,,,,,,,,,,,
,4.711301891,0,4.711301891,0,4.711301891,0,4.711301891,0.00155,4.744833405,0,4.610186977,0,4.711301891,0,4.711301891,0,,,,,,,,,,,,,,,,,
,4.710562127,0,4.710562127,0,4.710562127,0,4.710562127,0.00281,4.744083074,0,4.609478632,0,4.710562127,0,4.710562127,0,,,,,,,,,,,,,,,,,
,4.709822597,0,4.709822597,0,4.709822597,0,4.709822597,0.00768,4.743332982,0,4.608770505,0,4.709822597,0,4.709822597,0,,,,,,,,,,,,,,,,,
,4.7090833,0,4.7090833,0,4.7090833,0,4.7090833,0.07236,4.742583128,0,4.608062595,0,4.7090833,0,4.7090833,0,,,,,,,,,,,,,,,,,
,4.708344232,0,4.708344232,0,4.708344232,0,4.708344232,0.04212,4.741833509,0,4.607354903,0,4.708344232,0,4.708344232,0,,,,,,,,,,,,,,,,,
,4.707605399,0,4.707605399,0,4.707605399,0,4.707605399,0.0091,4.741084128,0,4.606647428,0,4.707605399,0,4.707605399,0,,,,,,,,,,,,,,,,,
,4.706866797,0,4.706866797,0,4.706866797,0,4.706866797,0.00277,4.740334985,0,4.60594017,0,4.706866797,0,4.706866797,0,,,,,,,,,,,,,,,,,
,4.706128425,0,4.706128425,0,4.706128425,0,4.706128425,0.00147,4.739586076,0,4.60523313,0,4.706128425,0,4.706128425,0,,,,,,,,,,,,,,,,,
,4.705390286,0,4.705390286,0,4.705390286,0,4.705390286,0.00103,4.738837406,0,4.604526306,0,4.705390286,0,4.705390286,0,,,,,,,,,,,,,,,,,
,4.70465238,0,4.70465238,0,4.70465238,0,4.70465238,0.000865494,4.738088972,0,4.6038197,0,4.70465238,0,4.70465238,0,,,,,,,,,,,,,,,,,
,4.703914702,0,4.703914702,0,4.703914702,0,4.703914702,0.000865483,4.737340772,0,4.60311331,0,4.703914702,0,4.703914702,0,,,,,,,,,,,,,,,,,
,4.703177258,0,4.703177258,0,4.703177258,0,4.703177258,0.00103,4.736592811,0,4.602407137,0,4.703177258,0,4.703177258,0,,,,,,,,,,,,,,,,,
,4.702440045,0,4.702440045,0,4.702440045,0,4.702440045,0.00149,4.735845086,0,4.601701181,0,4.702440045,0,4.702440045,0,,,,,,,,,,,,,,,,,
,4.701703061,0,4.701703061,0,4.701703061,0,4.701703061,0.00338,4.735097595,0,4.600995441,0,4.701703061,0,4.701703061,0,,,,,,,,,,,,,,,,,
,4.70096631,0,4.70096631,0,4.70096631,0,4.70096631,0.00764,4.734350342,0,4.600289918,0,4.70096631,0,4.70096631,0,,,,,,,,,,,,,,,,,
,4.70022979,0,4.70022979,0,4.70022979,0,4.70022979,0.07982,4.733603325,0,4.599584611,0,4.70022979,0,4.70022979,0,,,,,,,,,,,,,,,,,
,4.699493499,0,4.699493499,0,4.699493499,0,4.699493499,0.03336,4.732856542,0,4.59887952,0,4.699493499,0,4.699493499,0,,,,,,,,,,,,,,,,,
,4.69875744,0,4.69875744,0,4.69875744,0,4.69875744,0.00547,4.732109996,0,4.598174645,0,4.69875744,0,4.69875744,0,,,,,,,,,,,,,,,,,
,4.698021612,0,4.698021612,0,4.698021612,0,4.698021612,0.00222,4.731363685,0,4.597469987,0,4.698021612,0,4.698021612,0,,,,,,,,,,,,,,,,,
,4.697286012,0,4.697286012,0,4.697286012,0,4.697286012,0.00127,4.730617608,0,4.596765544,0,4.697286012,0,4.697286012,0,,,,,,,,,,,,,,,,,
,4.696550645,0,4.696550645,0,4.696550645,0,4.696550645,0.000909069,4.729871768,0,4.596061317,0,4.696550645,0,4.696550645,0,,,,,,,,,,,,,,,,,
,4.695815508,0,4.695815508,0,4.695815508,0,4.695815508,0.000779305,4.729126164,0,4.595357306,0,4.695815508,0,4.695815508,0,,,,,,,,,,,,,,,,,
,4.695080599,0,4.695080599,0,4.695080599,0,4.695080599,0.000808733,4.728380792,0,4.59465351,0,4.695080599,0,4.695080599,0,,,,,,,,,,,,,,,,,
,4.694345922,0,4.694345922,0,4.694345922,0,4.694345922,0.00192,4.727635657,0,4.593949931,0,4.694345922,0,4.694345922,0,,,,,,,,,,,,,,,,,
,4.693611474,0,4.693611474,0,4.693611474,0,4.693611474,0.00147,4.726890758,0,4.593246566,0,4.693611474,0,4.693611474,0,,,,,,,,,,,,,,,,,
,4.692877255,0,4.692877255,0,4.692877255,0,4.692877255,0.00378,4.72614609,0,4.592543417,0,4.692877255,0,4.692877255,0,,,,,,,,,,,,,,,,,
,4.692143267,0,4.692143267,0,4.692143267,0,4.692143267,0.00829,4.72540166,0,4.591840483,0,4.692143267,0,4.692143267,0,,,,,,,,,,,,,,,,,
,4.691409509,0,4.691409509,0,4.691409509,0,4.691409509,0.12613,4.724657464,0,4.591137764,0,4.691409509,0,4.691409509,0,,,,,,,,,,,,,,,,,
,4.690675978,0,4.690675978,0,4.690675978,0,4.690675978,0.01878,4.7239135,0,4.590435261,0,4.690675978,0,4.690675978,0,,,,,,,,,,,,,,,,,
,4.689942679,0,4.689942679,0,4.689942679,0,4.689942679,0.00387,4.723169772,0,4.589732972,0,4.689942679,0,4.689942679,0,,,,,,,,,,,,,,,,,
,4.689209609,0,4.689209609,0,4.689209609,0,4.689209609,0.00168,4.722426279,0,4.589030898,0,4.689209609,0,4.689209609,0,,,,,,,,,,,,,,,,,
,4.688476766,0,4.688476766,0,4.688476766,0,4.688476766,0.001,4.721683017,0,4.588329039,0,4.688476766,0,4.688476766,0,,,,,,,,,,,,,,,,,
,4.687744154,0,4.687744154,0,4.687744154,0,4.687744154,0.000767799,4.720939992,0,4.587627395,0,4.687744154,0,4.687744154,0,,,,,,,,,,,,,,,,,
,4.687011771,0,4.687011771,0,4.687011771,0,4.687011771,0.00103,4.720197201,0,4.586925965,0,4.687011771,0,4.687011771,0,,,,,,,,,,,,,,,,,
,4.686279614,0,4.686279614,0,4.686279614,0,4.686279614,0.000743213,4.719454641,0,4.586224749,0,4.686279614,0,4.686279614,0,,,,,,,,,,,,,,,,,
,4.685547689,0,4.685547689,0,4.685547689,0,4.685547689,0.00229,4.718712316,0,4.585523748,0,4.685547689,0,4.685547689,0,,,,,,,,,,,,,,,,,
,4.684815992,0,4.684815992,0,4.684815992,0,4.684815992,0.0016,4.717970226,0,4.584822961,0,4.684815992,0,4.684815992,0,,,,,,,,,,,,,,,,,
,4.684084521,0,4.684084521,0,4.684084521,0,4.684084521,0.00248,4.717228366,0,4.584122389,0,4.684084521,0,4.684084521,0,,,,,,,,,,,,,,,,,
,4.683353281,0,4.683353281,0,4.683353281,0,4.683353281,0.00927,4.716486742,0,4.58342203,0,4.683353281,0,4.683353281,0,,,,,,,,,,,,,,,,,
,4.68262227,0,4.68262227,0,4.68262227,0,4.68262227,0.17804,4.715745351,0,4.582721886,0,4.68262227,0,4.68262227,0,,,,,,,,,,,,,,,,,
,4.681891484,0,4.681891484,0,4.681891484,0,4.681891484,0.00811,4.715004191,0,4.582021955,0,4.681891484,0,4.681891484,0,,,,,,,,,,,,,,,,,
,4.681160928,0,4.681160928,0,4.681160928,0,4.681160928,0.00222,4.714263266,0,4.581322238,0,4.681160928,0,4.681160928,0,,,,,,,,,,,,,,,,,
,4.680430601,0,4.680430601,0,4.680430601,0,4.680430601,0.00114,4.713522574,0,4.580622735,0,4.680430601,0,4.680430601,0,,,,,,,,,,,,,,,,,
,4.679700499,0,4.679700499,0,4.679700499,0,4.679700499,0.000749043,4.712782112,0,4.579923445,0,4.679700499,0,4.679700499,0,,,,,,,,,,,,,,,,,
,4.678970627,0,4.678970627,0,4.678970627,0,4.678970627,0.000595415,4.712041885,0,4.579224369,0,4.678970627,0,4.678970627,0,,,,,,,,,,,,,,,,,
,4.678240983,0,4.678240983,0,4.678240983,0,4.678240983,0.0041,4.711301891,0,4.578525506,0,4.678240983,0,4.678240983,0,,,,,,,,,,,,,,,,,
,4.677511564,0,4.677511564,0,4.677511564,0,4.677511564,0.000608053,4.710562127,0,4.577826856,0,4.677511564,0,4.677511564,0,,,,,,,,,,,,,,,,,
,4.676782374,0,4.676782374,0,4.676782374,0,4.676782374,0.000589605,4.709822597,0,4.57712842,0,4.676782374,0,4.676782374,0,,,,,,,,,,,,,,,,,
,4.676053412,0,4.676053412,0,4.676053412,0,4.676053412,0.000857986,4.7090833,0,4.576430196,0,4.676053412,0,4.676053412,0,,,,,,,,,,,,,,,,,
,4.675324675,0,4.675324675,0,4.675324675,0,4.675324675,0.00201,4.708344232,0,4.575732186,0,4.675324675,0,4.675324675,0,,,,,,,,,,,,,,,,,
,4.674596167,0,4.674596167,0,4.674596167,0,4.674596167,0.01177,4.707605399,0,4.575034389,0,4.674596167,0,4.674596167,0,,,,,,,,,,,,,,,,,
,4.673867887,0,4.673867887,0,4.673867887,0,4.673867887,0.02359,4.706866797,0,4.574336804,0,4.673867887,0,4.673867887,0,,,,,,,,,,,,,,,,,
,4.67313983,0,4.67313983,0,4.67313983,0,4.67313983,0.00307,4.706128425,0,4.573639432,0,4.67313983,0,4.67313983,0,,,,,,,,,,,,,,,,,
,4.672412003,0,4.672412003,0,4.672412003,0,4.672412003,0.000917977,4.705390286,0,4.572942273,0,4.672412003,0,4.672412003,0,,,,,,,,,,,,,,,,,
,4.671684403,0,4.671684403,0,4.671684403,0,4.671684403,0.00061253,4.70465238,0,4.572245326,0,4.671684403,0,4.671684403,0,,,,,,,,,,,,,,,,,
,4.670957027,0,4.670957027,0,4.670957027,0,4.670957027,0.00233,4.703914702,0,4.571548592,0,4.670957027,0,4.670957027,0,,,,,,,,,,,,,,,,,
,4.67022988,0,4.67022988,0,4.67022988,0,4.67022988,0.000267098,4.703177258,0,4.570852069,0,4.67022988,0,4.67022988,0,,,,,,,,,,,,,,,,,
,4.669502959,0,4.669502959,0,4.669502959,0,4.669502959,0.000324185,4.702440045,0,4.57015576,0,4.669502959,0,4.669502959,0,,,,,,,,,,,,,,,,,
,4.668776262,0,4.668776262,0,4.668776262,0,4.668776262,0.000115083,4.701703061,0,4.569459662,0,4.668776262,0,4.668776262,0,,,,,,,,,,,,,,,,,
,4.668049793,0,4.668049793,0,4.668049793,0,4.668049793,0.0000876,4.70096631,0,4.568763776,0,4.668049793,0,4.668049793,0,,,,,,,,,,,,,,,,,
,4.66732355,0,4.66732355,0,4.66732355,0,4.66732355,0.0000874,4.70022979,0,4.568068102,0,4.66732355,0,4.66732355,0,,,,,,,,,,,,,,,,,
,4.666597532,0,4.666597532,0,4.666597532,0,4.666597532,0.000137947,4.699493499,0,4.56737264,0,4.666597532,0,4.666597532,0,,,,,,,,,,,,,,,,,
,4.665871741,0,4.665871741,0,4.665871741,0,4.665871741,0.000166576,4.69875744,0,4.56667739,0,4.665871741,0,4.665871741,0,,,,,,,,,,,,,,,,,
,4.665146176,0,4.665146176,0,4.665146176,0,4.665146176,0.000106056,4.698021612,0,4.565982351,0,4.665146176,0,4.665146176,0,,,,,,,,,,,,,,,,,
,4.664420834,0,4.664420834,0,4.664420834,0,4.664420834,0.000538608,4.697286012,0,4.565287524,0,4.664420834,0,4.664420834,0,,,,,,,,,,,,,,,,,
,4.66369572,0,4.66369572,0,4.66369572,0,4.66369572,0.000378721,4.696550645,0,4.564592908,0,4.66369572,0,4.66369572,0,,,,,,,,,,,,,,,,,
,4.662970832,0,4.662970832,0,4.662970832,0,4.662970832,0.00013735,4.695815508,0,4.563898504,0,4.662970832,0,4.662970832,0,,,,,,,,,,,,,,,,,
,4.662246166,0,4.662246166,0,4.662246166,0,4.662246166,0.000160627,4.695080599,0,4.563204311,0,4.662246166,0,4.662246166,0,,,,,,,,,,,,,,,,,
,4.661521728,0,4.661521728,0,4.661521728,0,4.661521728,0.000198974,4.694345922,0,4.562510329,0,4.661521728,0,4.661521728,0,,,,,,,,,,,,,,,,,
,4.660797515,0,4.660797515,0,4.660797515,0,4.660797515,0.00025729,4.693611474,0,4.561816558,0,4.660797515,0,4.660797515,0,,,,,,,,,,,,,,,,,
,4.660073525,0,4.660073525,0,4.660073525,0,4.660073525,0.000427742,4.692877255,0,4.561122998,0,4.660073525,0,4.660073525,0,,,,,,,,,,,,,,,,,
,4.659349762,0,4.659349762,0,4.659349762,0,4.659349762,0.00118,4.692143267,0,4.560429649,0,4.659349762,0,4.659349762,0,,,,,,,,,,,,,,,,,
,4.658626224,0,4.658626224,0,4.658626224,0,4.658626224,0.00203,4.691409509,0,4.559736511,0,4.658626224,0,4.658626224,0,,,,,,,,,,,,,,,,,
,4.657902908,0,4.657902908,0,4.657902908,0,4.657902908,0.01328,4.690675978,0,4.559043583,0,4.657902908,0,4.657902908,0,,,,,,,,,,,,,,,,,
,4.657179819,0,4.657179819,0,4.657179819,0,4.657179819,0.02446,4.689942679,0,4.558350866,0,4.657179819,0,4.657179819,0,,,,,,,,,,,,,,,,,
,4.656456955,0,4.656456955,0,4.656456955,0,4.656456955,0.0026,4.689209609,0,4.557658359,0,4.656456955,0,4.656456955,0,,,,,,,,,,,,,,,,,
,4.655734313,0,4.655734313,0,4.655734313,0,4.655734313,0.00099682,4.688476766,0,4.556966063,0,4.655734313,0,4.655734313,0,,,,,,,,,,,,,,,,,
,4.655011897,0,4.655011897,0,4.655011897,0,4.655011897,0.000601368,4.687744154,0,4.556273977,0,4.655011897,0,4.655011897,0,,,,,,,,,,,,,,,,,
,4.654289705,0,4.654289705,0,4.654289705,0,4.654289705,0.000564631,4.687011771,0,4.555582101,0,4.654289705,0,4.654289705,0,,,,,,,,,,,,,,,,,
,4.653567735,0,4.653567735,0,4.653567735,0,4.653567735,0.000459815,4.686279614,0,4.554890436,0,4.653567735,0,4.653567735,0,,,,,,,,,,,,,,,,,
,4.652845991,0,4.652845991,0,4.652845991,0,4.652845991,0.000673439,4.685547689,0,4.55419898,0,4.652845991,0,4.652845991,0,,,,,,,,,,,,,,,,,
,4.652124471,0,4.652124471,0,4.652124471,0,4.652124471,0.000754667,4.684815992,0,4.553507734,0,4.652124471,0,4.652124471,0,,,,,,,,,,,,,,,,,
,4.651403173,0,4.651403173,0,4.651403173,0,4.651403173,0.00122,4.684084521,0,4.552816698,0,4.651403173,0,4.651403173,0,,,,,,,,,,,,,,,,,
,4.650682101,0,4.650682101,0,4.650682101,0,4.650682101,0.00308,4.683353281,0,4.552125872,0,4.650682101,0,4.650682101,0,,,,,,,,,,,,,,,,,
,4.649961252,0,4.649961252,0,4.649961252,0,4.649961252,0.01124,4.68262227,0,4.551435256,0,4.649961252,0,4.649961252,0,,,,,,,,,,,,,,,,,
,4.649240624,0,4.649240624,0,4.649240624,0,4.649240624,0.15735,4.681891484,0,4.550744848,0,4.649240624,0,4.649240624,0,,,,,,,,,,,,,,,,,
,4.648520222,0,4.648520222,0,4.648520222,0,4.648520222,0.00757,4.681160928,0,4.550054651,0,4.648520222,0,4.648520222,0,,,,,,,,,,,,,,,,,
,4.647800043,0,4.647800043,0,4.647800043,0,4.647800043,0.00227,4.680430601,0,4.549364662,0,4.647800043,0,4.647800043,0,,,,,,,,,,,,,,,,,
,4.647080084,0,4.647080084,0,4.647080084,0,4.647080084,0.00137,4.679700499,0,4.548674883,0,4.647080084,0,4.647080084,0,,,,,,,,,,,,,,,,,
,4.646360352,0,4.646360352,0,4.646360352,0,4.646360352,0.000869175,4.678970627,0,4.547985313,0,4.646360352,0,4.646360352,0,,,,,,,,,,,,,,,,,
,4.645640842,0,4.645640842,0,4.645640842,0,4.645640842,0.000732841,4.678240983,0,4.547295952,0,4.645640842,0,4.645640842,0,,,,,,,,,,,,,,,,,
,4.644921552,0,4.644921552,0,4.644921552,0,4.644921552,0.000785649,4.677511564,0,4.5466068,0,4.644921552,0,4.644921552,0,,,,,,,,,,,,,,,,,
,4.644202488,0,4.644202488,0,4.644202488,0,4.644202488,0.00106,4.676782374,0,4.545917857,0,4.644202488,0,4.644202488,0,,,,,,,,,,,,,,,,,
,4.643483646,0,4.643483646,0,4.643483646,0,4.643483646,0.00186,4.676053412,0,4.545229123,0,4.643483646,0,4.643483646,0,,,,,,,,,,,,,,,,,
,4.642765024,0,4.642765024,0,4.642765024,0,4.642765024,0.00298,4.675324675,0,4.544540597,0,4.642765024,0,4.642765024,0,,,,,,,,,,,,,,,,,
,4.642046627,0,4.642046627,0,4.642046627,0,4.642046627,0.01013,4.674596167,0,4.54385228,0,4.642046627,0,4.642046627,0,,,,,,,,,,,,,,,,,
,4.641328453,0,4.641328453,0,4.641328453,0,4.641328453,0.2209,4.673867887,0,4.543164171,0,4.641328453,0,4.641328453,0,,,,,,,,,,,,,,,,,
,4.640610498,0,4.640610498,0,4.640610498,0,4.640610498,0.0158,4.67313983,0,4.542476271,0,4.640610498,0,4.640610498,0,,,,,,,,,,,,,,,,,
,4.639892767,0,4.639892767,0,4.639892767,0,4.639892767,0.0039,4.672412003,0,4.541788579,0,4.639892767,0,4.639892767,0,,,,,,,,,,,,,,,,,
,4.639175259,0,4.639175259,0,4.639175259,0,4.639175259,0.0018,4.671684403,0,4.541101095,0,4.639175259,0,4.639175259,0,,,,,,,,,,,,,,,,,
,4.63845797,0,4.63845797,0,4.63845797,0,4.63845797,0.00116,4.670957027,0,4.540413819,0,4.63845797,0,4.63845797,0,,,,,,,,,,,,,,,,,
,4.637740905,0,4.637740905,0,4.637740905,0,4.637740905,0.000999386,4.67022988,0,4.539726752,0,4.637740905,0,4.637740905,0,,,,,,,,,,,,,,,,,
,4.637024062,0,4.637024062,0,4.637024062,0,4.637024062,0.00194,4.669502959,0,4.539039892,0,4.637024062,0,4.637024062,0,,,,,,,,,,,,,,,,,
,4.636307438,0,4.636307438,0,4.636307438,0,4.636307438,0.00117,4.668776262,0,4.53835324,0,4.636307438,0,4.636307438,0,,,,,,,,,,,,,,,,,
,4.635591038,0,4.635591038,0,4.635591038,0,4.635591038,0.0017,4.668049793,0,4.537666795,0,4.635591038,0,4.635591038,0,,,,,,,,,,,,,,,,,
,4.63487486,0,4.63487486,0,4.63487486,0,4.63487486,0.00326,4.66732355,0,4.536980559,0,4.63487486,0,4.63487486,0,,,,,,,,,,,,,,,,,
,4.6341589,0,4.6341589,0,4.6341589,0,4.6341589,0.01022,4.666597532,0,4.53629453,0,4.6341589,0,4.6341589,0,,,,,,,,,,,,,,,,,
,4.633443164,0,4.633443164,0,4.633443164,0,4.633443164,0.16647,4.665871741,0,4.535608708,0,4.633443164,0,4.633443164,0,,,,,,,,,,,,,,,,,
,4.632727648,0,4.632727648,0,4.632727648,0,4.632727648,0.02483,4.665146176,0,4.534923094,0,4.632727648,0,4.632727648,0,,,,,,,,,,,,,,,,,
,4.632012352,0,4.632012352,0,4.632012352,0,4.632012352,0.0051,4.664420834,0,4.534237686,0,4.632012352,0,4.632012352,0,,,,,,,,,,,,,,,,,
,4.631297278,0,4.631297278,0,4.631297278,0,4.631297278,0.0023,4.66369572,0,4.533552486,0,4.631297278,0,4.631297278,0,,,,,,,,,,,,,,,,,
,4.630582426,0,4.630582426,0,4.630582426,0,4.630582426,0.00271,4.662970832,0,4.532867494,0,4.630582426,0,4.630582426,0,,,,,,,,,,,,,,,,,
,4.629867791,0,4.629867791,0,4.629867791,0,4.629867791,0.00116,4.662246166,0,4.532182708,0,4.629867791,0,4.629867791,0,,,,,,,,,,,,,,,,,
,4.62915338,0,4.62915338,0,4.62915338,0,4.62915338,0.00111,4.661521728,0,4.531498129,0,4.62915338,0,4.62915338,0,,,,,,,,,,,,,,,,,
,4.628439189,0,4.628439189,0,4.628439189,0,4.628439189,0.00131,4.660797515,0,4.530813756,0,4.628439189,0,4.628439189,0,,,,,,,,,,,,,,,,,
,4.627725216,0,4.627725216,0,4.627725216,0,4.627725216,0.00191,4.660073525,0,4.530129591,0,4.627725216,0,4.627725216,0,,,,,,,,,,,,,,,,,
,4.627011465,0,4.627011465,0,4.627011465,0,4.627011465,0.00368,4.659349762,0,4.529445632,0,4.627011465,0,4.627011465,0,,,,,,,,,,,,,,,,,
,4.626297935,0,4.626297935,0,4.626297935,0,4.626297935,0.01138,4.658626224,0,4.528761879,0,4.626297935,0,4.626297935,0,,,,,,,,,,,,,,,,,
,4.625584622,0,4.625584622,0,4.625584622,0,4.625584622,0.18761,4.657902908,0,4.528078333,0,4.625584622,0,4.625584622,0,,,,,,,,,,,,,,,,,
,4.624871532,0,4.624871532,0,4.624871532,0,4.624871532,0.02815,4.657179819,0,4.527394993,0,4.624871532,0,4.624871532,0,,,,,,,,,,,,,,,,,
,4.624158661,0,4.624158661,0,4.624158661,0,4.624158661,0.00666,4.656456955,0,4.52671186,0,4.624158661,0,4.624158661,0,,,,,,,,,,,,,,,,,
,4.623446008,0,4.623446008,0,4.623446008,0,4.623446008,0.00256,4.655734313,0,4.526028932,0,4.623446008,0,4.623446008,0,,,,,,,,,,,,,,,,,
,4.622733577,0,4.622733577,0,4.622733577,0,4.622733577,0.00159,4.655011897,0,4.525346211,0,4.622733577,0,4.622733577,0,,,,,,,,,,,,,,,,,
,4.622021365,0,4.622021365,0,4.622021365,0,4.622021365,0.00125,4.654289705,0,4.524663695,0,4.622021365,0,4.622021365,0,,,,,,,,,,,,,,,,,
,4.621309371,0,4.621309371,0,4.621309371,0,4.621309371,0.00122,4.653567735,0,4.523981386,0,4.621309371,0,4.621309371,0,,,,,,,,,,,,,,,,,
,4.620597598,0,4.620597598,0,4.620597598,0,4.620597598,0.00156,4.652845991,0,4.523299282,0,4.620597598,0,4.620597598,0,,,,,,,,,,,,,,,,,
,4.619886044,0,4.619886044,0,4.619886044,0,4.619886044,0.00216,4.652124471,0,4.522617383,0,4.619886044,0,4.619886044,0,,,,,,,,,,,,,,,,,
,4.619174707,0,4.619174707,0,4.619174707,0,4.619174707,0.00424,4.651403173,0,4.521935691,0,4.619174707,0,4.619174707,0,,,,,,,,,,,,,,,,,
,4.618463592,0,4.618463592,0,4.618463592,0,4.618463592,0.01432,4.650682101,0,4.521254204,0,4.618463592,0,4.618463592,0,,,,,,,,,,,,,,,,,
,4.617752695,0,4.617752695,0,4.617752695,0,4.617752695,0.34858,4.649961252,0,4.520572922,0,4.617752695,0,4.617752695,0,,,,,,,,,,,,,,,,,
,4.617042015,0,4.617042015,0,4.617042015,0,4.617042015,0.02374,4.649240624,0,4.519891845,0,4.617042015,0,4.617042015,0,,,,,,,,,,,,,,,,,
,4.616331556,0,4.616331556,0,4.616331556,0,4.616331556,0.00547,4.648520222,0,4.519210974,0,4.616331556,0,4.616331556,0,,,,,,,,,,,,,,,,,
,4.615621315,0,4.615621315,0,4.615621315,0,4.615621315,0.00253,4.647800043,0,4.518530308,0,4.615621315,0,4.615621315,0,,,,,,,,,,,,,,,,,
,4.614911291,0,4.614911291,0,4.614911291,0,4.614911291,0.00162,4.647080084,0,4.517849846,0,4.614911291,0,4.614911291,0,,,,,,,,,,,,,,,,,
,4.614201487,0,4.614201487,0,4.614201487,0,4.614201487,0.00132,4.646360352,0,4.51716959,0,4.614201487,0,4.614201487,0,,,,,,,,,,,,,,,,,
,4.613491902,0,4.613491902,0,4.613491902,0,4.613491902,0.00131,4.645640842,0,4.516489538,0,4.613491902,0,4.613491902,0,,,,,,,,,,,,,,,,,
,4.612782533,0,4.612782533,0,4.612782533,0,4.612782533,0.00161,4.644921552,0,4.515809692,0,4.612782533,0,4.612782533,0,,,,,,,,,,,,,,,,,
,4.612073384,0,4.612073384,0,4.612073384,0,4.612073384,0.00252,4.644202488,0,4.51513005,0,4.612073384,0,4.612073384,0,,,,,,,,,,,,,,,,,
,4.611364453,0,4.611364453,0,4.611364453,0,4.611364453,0.00544,4.643483646,0,4.514450612,0,4.611364453,0,4.611364453,0,,,,,,,,,,,,,,,,,
,4.610655737,0,4.610655737,0,4.610655737,0,4.610655737,0.02139,4.642765024,0,4.513771379,0,4.610655737,0,4.610655737,0,,,,,,,,,,,,,,,,,
,4.609947242,0,4.609947242,0,4.609947242,0,4.609947242,0.4836,4.642046627,0,4.51309235,0,4.609947242,0,4.609947242,0,,,,,,,,,,,,,,,,,
,4.609238965,0,4.609238965,0,4.609238965,0,4.609238965,0.01607,4.641328453,0,4.512413526,0,4.609238965,0,4.609238965,0,,,,,,,,,,,,,,,,,
,4.608530903,0,4.608530903,0,4.608530903,0,4.608530903,0.00458,4.640610498,0,4.511734905,0,4.608530903,0,4.608530903,0,,,,,,,,,,,,,,,,,
,4.60782306,0,4.60782306,0,4.60782306,0,4.60782306,0.00229,4.639892767,0,4.511056489,0,4.60782306,0,4.60782306,0,,,,,,,,,,,,,,,,,
,4.607115435,0,4.607115435,0,4.607115435,0,4.607115435,0.00155,4.639175259,0,4.510378277,0,4.607115435,0,4.607115435,0,,,,,,,,,,,,,,,,,
,4.606408025,0,4.606408025,0,4.606408025,0,4.606408025,0.00132,4.63845797,0,4.509700268,0,4.606408025,0,4.606408025,0,,,,,,,,,,,,,,,,,
,4.605700835,0,4.605700835,0,4.605700835,0,4.605700835,0.00147,4.637740905,0,4.509022464,0,4.605700835,0,4.605700835,0,,,,,,,,,,,,,,,,,
,4.604993861,0,4.604993861,0,4.604993861,0,4.604993861,0.00187,4.637024062,0,4.508344863,0,4.604993861,0,4.604993861,0,,,,,,,,,,,,,,,,,
,4.604287103,0,4.604287103,0,4.604287103,0,4.604287103,0.00299,4.636307438,0,4.507667466,0,4.604287103,0,4.604287103,0,,,,,,,,,,,,,,,,,
,4.603580563,0,4.603580563,0,4.603580563,0,4.603580563,0.00739,4.635591038,0,4.506990272,0,4.603580563,0,4.603580563,0,,,,,,,,,,,,,,,,,
,4.60287424,0,4.60287424,0,4.60287424,0,4.60287424,0.04635,4.63487486,0,4.506313282,0,4.60287424,0,4.60287424,0,,,,,,,,,,,,,,,,,
,4.602168132,0,4.602168132,0,4.602168132,0,4.602168132,0.09945,4.6341589,0,4.505636495,0,4.602168132,0,4.602168132,0,,,,,,,,,,,,,,,,,
